CONTRACT_ID,CLIENT_TYPE_ID,AVG_EUROS_IMPORT,POWER_P1,HAS_GAS,HAS_SOLAR,ZIPCODE
466,0,73.18,3950.00000,0,0,28100
12,0,32.73,3950.00000,0,0,01010
1633,0,34.3,2950.00000,0,0,46015
3424,0,104.61,5050.00000,0,1,36900
3304,0,142.48,4100.00000,0,0,28017
3696,0,55.33,5250.00000,0,0,33202
2489,0,43.24,4050.00000,0,0,28019
6668,0,134.37,4100.00000,0,0,08903
5375,0,297.02,10650.00000,0,1,08203
1246,0,88.09,4100.00000,0,0,31011
4671,0,20.1,1650.00000,0,0,14011
5907,0,148.03,4650.00000,0,0,08001
2074,0,80.21,5846.00000,0,1,30564
4445,0,108.07,5250.00000,0,0,18196
2215,0,136.91,5250.00000,0,1,28942
3741,0,52.71,4100.00000,0,0,33300
6024,0,173.4,14450.00000,0,1,08021
7442,0,552.76,14506.00000,0,1,17249
7049,0,85.34,2950.00000,0,0,08019
8161,0,187.17,5250.00000,0,0,08019
3663,0,84.65,5250.00000,0,1,28523
6174,0,218.46,4100.00000,0,0,08906
265,0,144.18,7550.00000,0,1,10400
1265,0,55.39,5250.00000,0,0,31010
181,0,238.73,5846.00000,0,1,03183
5110,0,68.93,4050.00000,0,0,50013
6282,0,40.01,5050.00000,0,1,43400
8642,0,36.11,5250.00000,0,0,07420
7609,0,60.6,5050.00000,0,0,08901
8425,0,156.77,6400.00000,0,1,17600
7302,0,143.83,5250.00000,0,0,08020
5369,0,91.14,4100.00000,0,0,08222
7179,0,84.11,6400.00000,0,1,08003
7557,0,118.33,4100.00000,0,0,08907
7822,0,45.42,5250.00000,0,0,08840
3252,0,67.66,3150.00000,0,1,28017
7189,0,64.93,4650.00000,0,0,08009
4855,0,116.72,5250.00000,0,1,14350
6673,0,68.24,6150.00000,0,0,08904
3883,0,113.34,5050.00000,0,0,23440
6061,0,154.07,6400.00000,0,1,08002
29,0,44.07,4050.00000,0,0,02141
8376,0,56.71,6400.00000,0,0,08005
8041,0,102.27,5250.00000,0,0,08850
5422,0,238.81,4100.00000,0,1,08397
6619,1,86.32,5250.00000,0,0,08902
5943,0,165.51,5750.00000,0,1,08024
1774,0,88.54,4100.00000,0,0,48004
7339,0,75.79,4250.00000,0,1,08036
6987,0,55.24,5050.00000,0,0,08019
2714,0,73.5,2850.00000,0,0,15179
3870,0,84.23,4050.00000,0,0,23003
7711,0,59.96,4114.00000,0,1,08820
8049,0,97.76,5250.00000,0,1,08269
1437,0,142.36,5150.00000,0,0,46600
8154,1,70.37,6400.00000,0,1,17300
270,0,27.7,3450.00000,0,0,45004
7067,0,51.77,2375.00000,0,0,08028
1142,0,92.31,4100.00000,0,0,31008
6063,0,119.84,4250.00000,0,0,08032
4012,0,72.75,5250.00000,0,1,41002
6609,0,48.34,3950.00000,0,1,08904
2227,0,248.26,5750.00000,0,1,03660
4002,0,63.9,2950.00000,0,0,41006
5912,0,174.31,5150.00000,0,0,08001
6644,0,164.38,6350.00000,0,1,43716
4350,0,81.5,5050.00000,0,0,29640
2034,0,111.64,6400.00000,0,1,03710
7903,0,253.26,4100.00000,0,0,08903
7689,0,151.8,6400.00000,0,1,17130
5933,0,101.91,5050.00000,0,1,08014
7165,0,60.26,5846.00000,0,1,08029
246,0,26.09,4100.00000,0,0,09391
8677,0,58.35,6400.00000,0,1,38650
3035,0,92.88,3950.00000,0,1,28018
3308,0,80.34,3950.00000,0,0,28017
5473,1,82.63,11042.00000,0,0,08348
5504,0,62.3,3950.00000,0,0,08360
2101,0,458.89,5150.00000,0,0,28412
2635,0,258.51,10650.00000,0,0,28034
5936,0,97.53,5050.00000,0,0,08028
4829,0,37.19,5846.00000,0,1,41510
1419,0,342.15,3950.00000,0,0,45910
5889,0,51.15,2950.00000,0,1,08015
728,0,97.12,4100.00000,0,0,28011
15,1,95.23,4100.00000,0,1,01005
3236,0,234.84,7250.00000,0,0,28017
6705,3,31.87,2850.00000,0,0,43002
426,0,68.62,3950.00000,0,0,24193
7315,1,34.35,3850.00000,0,1,08022
1930,0,90.98,4100.00000,0,0,28100
5509,0,79.76,5050.00000,0,0,08360
6834,0,39.18,5250.00000,0,0,25430
2645,1,33.74,4100.00000,0,1,09007
1226,0,51.92,3450.00000,0,0,31001
1174,0,60.77,7250.00000,0,1,31001
7971,0,61.99,2950.00000,0,0,43540
8679,0,46.6,4100.00000,0,0,35660
7615,0,86.99,6400.00000,0,1,08901
5797,0,81.53,4100.00000,0,0,08011
8882,0,30.74,5250.00000,0,0,11510
1728,0,179.5,5050.00000,0,0,48013
5424,0,76.37,5050.00000,0,0,08490
3244,0,64.32,3950.00000,0,0,28017
5712,0,41.28,4850.00000,0,1,08029
2052,0,145.1,4850.00000,0,0,12006
2482,0,48.3,4100.00000,0,0,28922
4744,0,85.55,4100.00000,0,0,29640
4433,0,129.92,3950.00000,0,0,18110
373,0,29.83,5250.00000,0,1,20100
3192,0,68.39,4100.00000,0,0,28037
1587,0,147.55,6400.00000,0,0,46026
7063,0,137.2,5050.00000,0,0,08020
8776,0,43.9,3950.00000,0,0,38715
6919,0,21.21,1800.00000,0,1,08730
7139,0,120.6,5250.00000,0,0,08016
2425,0,39.66,4100.00000,0,0,31016
1802,0,45.67,3950.00000,0,1,48278
8615,0,268.14,8700.00000,0,1,07710
7780,0,48.76,3950.00000,0,0,08880
6892,0,55.22,4100.00000,0,0,08243
5837,0,93.54,2950.00000,0,0,08025
4665,0,57.74,4100.00000,0,0,04700
942,0,63.53,3750.00000,0,0,28850
4823,0,31.35,4100.00000,0,0,18110
8612,0,146.83,4100.00000,0,1,07013
5276,0,88.84,4100.00000,0,0,08203
7909,0,141.12,5846.00000,0,1,08019
2116,0,147.91,5650.00000,0,0,28150
6258,0,95.46,5250.00000,0,0,25310
